Week,Ad name,Campaign name,Creative Type,Campaign,Amount spent (INR),"CPM (cost per 1,000 impressions) (INR)",QPs,CPQ,Cost per results,Purchases,Purchase ROAS (return on ad spend),RPL,Hook Rate,Hold Rate,Impressions,Frequency,Link clicks,CPC (cost per link click) (INR),CTR (link click-through rate),App Installs
1/19/2026,Juhi 12s_FreeChat,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,432166.7,51.10526,2445,176.7553,1367.616,316,0.395174,69.84908,0.091214,0.300546,8456403,2.23473,22847,18.91569,0.270174,6997
12/22/2025,Shubham's_Mom_FreeChat,Multi CTP Parents Aug 2025,Video,Parent,427621.6,72.36457,866,493.7894,2908.991,142,0.220118,108.6917,0.180239,0.215524,5909268,2.786456,35816,11.9394,0.606099,3749
3/9/2026,Juhi 12s_FreeChat,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,425356.7,46.54259,2021,210.4684,1687.923,252,0.204083,42.95299,0.07466,0.289784,9139085,2.185369,26866,15.83253,0.293968,5973
11/10/2025,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,395483.3,71.77673,2383,165.9603,1987.353,199,0.164601,27.31725,0.068236,0.189805,5509910,2.527596,14344,27.57134,0.260331,6725
3/2/2026,Juhi 12s_FreeChat,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,361387.8,40.41219,1931,187.1506,1411.671,256,0.214711,40.18332,0.064228,0.269678,8942544,2.201322,20918,17.2764,0.233916,5918
12/29/2025,Shubham's_Mom_FreeChat,Multi CTP Parents Aug 2025,Video,Parent,358263.5,65.3534,651,550.328,2311.378,147,0.292235,160.8249,0.181885,0.22484,5481942,2.532818,42616,8.406785,0.777389,2827
1/26/2026,Juhi 12s_FreeChat,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,349060.9,43.14104,2089,167.0947,1246.646,280,0.403855,67.48205,0.074572,0.285623,8091155,2.157561,20629,16.92088,0.254957,5982
3/9/2026,Mani_Free Chat_24s,Test-Female Open Multi CTP Oct 2025,Video,Female,343118.7,70.60773,199,1724.215,22874.58,10,0.069523,119.8719,0.153711,0.246766,4859507,4.114217,49379,6.948677,1.016132,502
11/3/2025,Smita,Multi CTP Parents Aug 2025,Video,Parent,332361.3,44.00753,277,1199.86,3910.133,86,0.174545,209.4296,0.183396,0.222361,7552373,2.310894,48967,6.787454,0.648366,2097
12/8/2025,Smita,Multi CTP Parents Aug 2025,Video,Parent,322896,40.2023,331,975.5165,3711.448,100,0.32216,314.2719,0.160227,0.22677,8031778,2.290081,60600,5.328316,0.754503,2176
12/1/2025,Smita,Multi CTP Parents Aug 2025,Video,Parent,321067.1,40.93385,335,958.4092,3777.26,94,0.512032,490.7361,0.161303,0.206804,7843559,2.397965,58144,5.52193,0.741296,2112
10/27/2025,Neena 20s Dinning Table,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,317508.4,53.38268,1971,161.09,973.9521,326,0.381105,61.39219,0.160638,0.130687,5947779,2.432916,10880,29.18276,0.182925,3977
2/23/2026,Juhi 12s_FreeChat,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,301549.9,60.10793,1629,185.1135,1389.631,217,0.276933,51.26397,0.085551,0.309654,5016808,2.142315,15157,19.89509,0.302124,5133
2/2/2026,Juhi 12s_FreeChat,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,298635.1,48.41499,1598,186.8805,1493.176,200,0.237189,44.32603,0.074219,0.290203,6168236,2.004373,16980,17.58746,0.275281,4414
1/12/2026,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,292324.4,119.7491,1543,189.452,1571.637,186,0.178353,33.78937,0.319543,0.4246,2441140,1.778358,43320,6.748024,1.774581,3690
2/9/2026,Juhi 12s_FreeChat,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,291372.9,58.58352,1658,175.7376,1367.948,213,0.257828,45.31001,0.072685,0.278031,4973632,2.185548,14636,19.90796,0.294272,4884
2/16/2026,Juhi 12s_FreeChat,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,286267.3,63.06844,1794,159.5693,1060.249,270,0.300677,47.97882,0.082499,0.302982,4538995,1.977301,13120,21.81916,0.289051,5004
11/17/2025,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,282436.7,84.16797,2124,132.9739,1098.975,257,0.30163,40.10887,0.079533,0.22601,3355631,1.940918,11147,25.33746,0.332188,5153
10/6/2025,Seema Manoj P2C Script 3 Dec 2024,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,281461.4,52.28948,1382,203.6624,1626.944,173,0.167755,34.16534,0.085945,0.419158,5382754,2.014178,14090,19.97597,0.261762,3851
11/24/2025,Smita,Multi CTP Parents Aug 2025,Video,Parent,277864.2,51.68062,270,1029.127,3347.762,46,0.287518,295.8926,0.159008,0.213285,5376565,2.278457,36142,7.688125,0.672214,1537
11/10/2025,Smita,Multi CTP Parents Aug 2025,Video,Parent,261865.6,48.54931,238,1100.276,5692.73,56,0.157837,173.6639,0.192345,0.267431,5393806,2.167944,47639,5.496874,0.883217,1654
12/15/2025,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,233036.8,97.7839,1775,131.2884,1136.765,205,0.316075,41.4969,0.077804,0.235997,2383182,1.999111,9949,23.42314,0.417467,5509
11/17/2025,Smita,Multi CTP Parents Aug 2025,Video,Parent,230095.5,47.39613,240,958.7313,4601.91,52,0.254081,243.5958,0.174514,0.234227,4854732,2.064621,35583,6.466445,0.732955,1506
3/2/2026,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,226910.2,137.8465,1014,223.7773,2292.022,99,0.166872,37.34221,0.088087,0.239764,1646108,1.870847,6934,32.72428,0.421236,3404
12/15/2025,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,218719,119.7487,1613,135.5976,1145.126,191,0.30116,40.83664,0.266819,0.398962,1826483,1.820147,22434,9.749443,1.228262,3583
10/13/2025,Seema Manoj P2C Script 3 Dec 2024,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,217516,53.35293,1269,171.4074,1611.229,135,0.216904,37.17888,0.081918,0.417719,4076927,2.08014,11803,18.42887,0.289507,3288
1/5/2026,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,217376.1,81.70823,1517,143.2934,1097.859,198,0.268742,38.5089,0.071152,0.205809,2660394,2.135669,9008,24.13145,0.338596,4578
11/3/2025,Neena 20s Dinning Table,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,216888.7,51.53305,1182,183.493,1084.443,200,0.341853,62.72758,0.156177,0.126926,4208730,1.934887,7515,28.86077,0.178557,2266
12/8/2025,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,209017.7,112.3594,1453,143.8525,1029.644,203,0.467865,67.30351,0.252553,0.365169,1860260,1.745993,21073,9.918743,1.132799,3199
12/29/2025,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,208229.3,92.60717,1771,117.5772,942.2138,221,0.408222,47.99763,0.0731,0.22369,2248522,2.099017,9506,21.90504,0.422767,5671
3/9/2026,Smita,Multi CTP Parents Aug 2025,Video,Parent,207510.9,56.46273,181,1146.469,4511.105,48,0.245578,281.547,0.158025,0.212478,3675183,2.068827,25618,8.100197,0.697054,932
10/20/2025,Seema Manoj P2C Script 3 Dec 2024,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,205994.8,60.09576,1507,136.692,887.9086,232,0.374451,51.18447,0.085053,0.412168,3427776,2.108935,11040,18.65895,0.322075,3746
2/16/2026,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,204377.4,151.3582,1011,202.1537,1439.277,142,0.246285,49.78734,0.084266,0.228066,1350290,1.879161,5509,37.09882,0.407986,3118
3/2/2026,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,203225.4,108.6075,853,238.2479,1516.608,134,0.218846,52.13951,0.230439,0.344442,1871191,1.69962,19370,10.49176,1.03517,2140
2/9/2026,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,200724.7,134.0621,859,233.6725,2255.333,89,0.157101,36.71013,0.083333,0.227499,1497251,1.926153,6314,31.79042,0.421706,2957
1/26/2026,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,198089.8,130.2068,1085,182.5713,1294.705,153,0.272816,49.80829,0.32094,0.444522,1521348,1.779604,37625,5.264846,2.473136,2389
2/23/2026,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,196600.1,169.7266,833,236.0145,1890.385,104,0.147828,34.88956,0.088107,0.249782,1158334,1.874779,5339,36.82339,0.460921,2987
12/8/2025,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,196338.8,99.55463,1549,126.7519,971.9741,202,0.320808,40.66301,0.077504,0.221404,1972171,1.875946,8047,24.399,0.408028,4482
1/12/2026,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,195948.7,82.98744,1225,159.9581,1632.906,120,0.223959,35.82408,0.075637,0.209794,2361185,1.892127,8036,24.38386,0.340338,3801
12/22/2025,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,193220.4,127.0918,1509,128.0453,951.8248,203,0.357918,45.82969,0.295833,0.434211,1520322,1.796623,22954,8.417724,1.509812,3387
12/15/2025,Smita,Multi CTP Parents Aug 2025,Video,Parent,189825.4,50.75427,188,1009.709,3451.371,49,0.409903,413.883,0.17262,0.258064,3740087,1.954092,34517,5.499475,0.922893,1142
1/5/2026,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,189405.8,118.5777,1121,168.9615,919.4456,206,0.511832,86.47993,0.288892,0.360733,1597314,1.635533,20116,9.415679,1.259364,2715
1/19/2026,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,188861.7,142.2103,1004,188.1092,1614.202,117,0.314034,59.07271,0.352614,0.47167,1328045,1.783559,36595,5.16086,2.755554,2161
2/23/2026,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,188470.6,126.9155,852,221.2096,2117.647,89,0.139396,30.83568,0.233017,0.380761,1485009,1.837098,18355,10.26808,1.236019,2062
10/6/2025,Video Ad Nov 23 - Parents - Nishi - 15 Sec (A) â€“ Copy,Multi CTP Parents Aug 2025,Video,Parent,182374.4,76.84841,164,1112.039,3964.66,42,0.158531,176.2927,0.224583,0.408243,2373170,2.324875,27446,6.644843,1.156512,844
12/22/2025,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,181491.7,100.0634,1453,124.9083,991.758,183,0.324461,40.52787,0.080506,0.237365,1813768,1.951654,8174,22.20354,0.450664,4399
2/16/2026,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,180829.2,144.3898,881,205.2545,993.5671,182,0.382151,78.43814,0.25729,0.404572,1252368,1.849969,17203,10.51149,1.373638,1998
1/19/2026,Juhi 12s_FreeChat,Test-Female Open Multi CTP Oct 2025,Video,Female,178970.9,46.12005,460,389.0671,5423.36,18,0.246498,95.90435,0.083648,0.217293,3880544,1.885632,14923,11.99296,0.384559,1269
1/12/2026,Juhi 12s_FreeChat,Test-Female Open Multi CTP Oct 2025,Video,Female,176428.5,49.0262,269,655.8681,13571.43,8,0.014232,9.334572,0.073658,0.207901,3598658,2.368079,14769,11.94587,0.410403,799
11/24/2025,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,176360.7,81.5779,1218,144.7953,1109.187,159,0.324063,46.92282,0.190675,0.271364,2161869,1.716651,13478,13.08508,0.623442,2409
12/29/2025,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,175973.6,122.819,1333,132.0132,833.9979,211,0.493955,65.20855,0.282705,0.417299,1432788,1.783861,20815,8.45417,1.452762,3179
3/9/2026,Jyoti 20s_Free Chat_20s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,175721.5,72.25509,757,232.1288,1657.75,106,0.21367,49.59894,0.126948,0.426101,2431960,1.736556,9387,18.71966,0.385985,1818
